Country_Region,Province_State,Date,Category,Cases
Afghanistan,"",2020-04-07T00:00:00Z,Deaths,14
Afghanistan,"",2020-04-07T00:00:00Z,Confirmed,423
Afghanistan,"",2020-04-07T00:00:00Z,Recovered,18
Albania,"",2020-04-07T00:00:00Z,Deaths,22
Albania,"",2020-04-07T00:00:00Z,Confirmed,383
Albania,"",2020-04-07T00:00:00Z,Recovered,131
Algeria,"",2020-04-07T00:00:00Z,Deaths,193
Algeria,"",2020-04-07T00:00:00Z,Confirmed,1468
Algeria,"",2020-04-07T00:00:00Z,Recovered,113
Andorra,"",2020-04-07T00:00:00Z,Deaths,22
Andorra,"",2020-04-07T00:00:00Z,Confirmed,545
Andorra,"",2020-04-07T00:00:00Z,Recovered,39
Angola,"",2020-04-07T00:00:00Z,Deaths,2
Angola,"",2020-04-07T00:00:00Z,Confirmed,17
Angola,"",2020-04-07T00:00:00Z,Recovered,2
Antigua and Barbuda,"",2020-04-07T00:00:00Z,Deaths,1
Antigua and Barbuda,"",2020-04-07T00:00:00Z,Confirmed,19
Antigua and Barbuda,"",2020-04-07T00:00:00Z,Recovered,0
Argentina,"",2020-04-07T00:00:00Z,Deaths,56
Argentina,"",2020-04-07T00:00:00Z,Confirmed,1628
Argentina,"",2020-04-07T00:00:00Z,Recovered,338
Armenia,"",2020-04-07T00:00:00Z,Deaths,8
Armenia,"",2020-04-07T00:00:00Z,Confirmed,853
Armenia,"",2020-04-07T00:00:00Z,Recovered,87
Australia,Australian Capital Territory,2020-04-07T00:00:00Z,Deaths,2
Australia,Australian Capital Territory,2020-04-07T00:00:00Z,Confirmed,96
Australia,Australian Capital Territory,2020-04-07T00:00:00Z,Recovered,40
Australia,New South Wales,2020-04-07T00:00:00Z,Deaths,21
Australia,New South Wales,2020-04-07T00:00:00Z,Confirmed,2686
Australia,New South Wales,2020-04-07T00:00:00Z,Recovered,4
Australia,Northern Territory,2020-04-07T00:00:00Z,Deaths,0
Australia,Northern Territory,2020-04-07T00:00:00Z,Confirmed,28
Australia,Northern Territory,2020-04-07T00:00:00Z,Recovered,2
Australia,Queensland,2020-04-07T00:00:00Z,Deaths,4
Australia,Queensland,2020-04-07T00:00:00Z,Confirmed,934
Australia,Queensland,2020-04-07T00:00:00Z,Recovered,173
Australia,South Australia,2020-04-07T00:00:00Z,Deaths,1
Australia,South Australia,2020-04-07T00:00:00Z,Confirmed,411
Australia,South Australia,2020-04-07T00:00:00Z,Recovered,53
Australia,Tasmania,2020-04-07T00:00:00Z,Deaths,2
Australia,Tasmania,2020-04-07T00:00:00Z,Confirmed,89
Australia,Tasmania,2020-04-07T00:00:00Z,Recovered,26
Australia,Victoria,2020-04-07T00:00:00Z,Deaths,11
Australia,Victoria,2020-04-07T00:00:00Z,Confirmed,1191
Australia,Victoria,2020-04-07T00:00:00Z,Recovered,620
Australia,Western Australia,2020-04-07T00:00:00Z,Deaths,4
Australia,Western Australia,2020-04-07T00:00:00Z,Confirmed,460
Australia,Western Australia,2020-04-07T00:00:00Z,Recovered,162
Austria,"",2020-04-07T00:00:00Z,Deaths,243
Austria,"",2020-04-07T00:00:00Z,Confirmed,12639
Austria,"",2020-04-07T00:00:00Z,Recovered,4046
Azerbaijan,"",2020-04-07T00:00:00Z,Deaths,8
Azerbaijan,"",2020-04-07T00:00:00Z,Confirmed,717
Azerbaijan,"",2020-04-07T00:00:00Z,Recovered,44
Bahamas,"",2020-04-07T00:00:00Z,Deaths,6
Bahamas,"",2020-04-07T00:00:00Z,Confirmed,33
Bahamas,"",2020-04-07T00:00:00Z,Recovered,5
Bahrain,"",2020-04-07T00:00:00Z,Deaths,5
Bahrain,"",2020-04-07T00:00:00Z,Confirmed,811
Bahrain,"",2020-04-07T00:00:00Z,Recovered,458
Bangladesh,"",2020-04-07T00:00:00Z,Deaths,17
Bangladesh,"",2020-04-07T00:00:00Z,Confirmed,164
Bangladesh,"",2020-04-07T00:00:00Z,Recovered,33
Barbados,"",2020-04-07T00:00:00Z,Deaths,3
Barbados,"",2020-04-07T00:00:00Z,Confirmed,63
Barbados,"",2020-04-07T00:00:00Z,Recovered,6
Belarus,"",2020-04-07T00:00:00Z,Deaths,13
Belarus,"",2020-04-07T00:00:00Z,Confirmed,861
Belarus,"",2020-04-07T00:00:00Z,Recovered,54
Belgium,"",2020-04-07T00:00:00Z,Deaths,2035
Belgium,"",2020-04-07T00:00:00Z,Confirmed,22194
